SECCIÓN,CASILLA,DISTRITO,NO. MPO,MUNICIPIO,ACTA,PAN,PRI,PRD,PT,PVEM,PCP,PMC,MORENA,PNA SAN LUIS,PES,RSP,FXM,CI,"PAN,PRI,PRD,PCP","PAN,PRI,PRD","PAN,PRI,PCP","PAN,PRD,PCP","PRI,PRD,PCP","PAN,PRI","PAN,PRD","PAN,PCP","PRI,PRD","PRI,PCP","PRD,PCP","PT,PVEM",CNR,VTN,TOTAL,OBSERVACIONES
1106,E1,7.0,28.0,SAN LUIS POTOSÍ,11106E012807,373,73,7,1,18,4,12,26,0,1,1,5,1,13,6,1,0,0,0,0,0,0,0,0,3,0,4,549,
1106,X1,7.0,28.0,SAN LUIS POTOSÍ,11106X012807,334,79,11,5,11,2,5,39,1,2,4,0,4,13,3,0,0,0,4,2,0,0,0,0,3,1,3,526,
1106,X2,7.0,28.0,SAN LUIS POTOSÍ,11106X022807,354,75,0,7,25,3,6,34,2,0,3,2,1,10,10,0,0,0,1,0,0,0,0,0,0,0,4,537,
1106,X3,7.0,28.0,SAN LUIS POTOSÍ,11106X032807,326,71,8,9,23,0,20,27,2,1,1,2,1,7,7,1,0,0,5,2,0,0,0,0,1,0,2,516,
1106,X4,7.0,28.0,SAN LUIS POTOSÍ,11106X042807,350,73,5,4,17,2,10,23,1,1,7,1,5,9,12,0,0,0,2,1,0,0,0,0,4,0,2,529,
1106,X5,7.0,28.0,SAN LUIS POTOSÍ,11106X052807,346,70,9,3,17,0,8,41,0,1,6,1,4,9,17,0,0,0,5,0,0,0,0,0,1,1,2,541,
1115,B1,7.0,28.0,SAN LUIS POTOSÍ,11115B012807,35,23,4,18,151,2,4,11,1,1,2,1,0,1,2,0,0,0,0,0,1,0,0,0,27,0,6,290,
1115,C1,7.0,28.0,SAN LUIS POTOSÍ,11115C012807,33,22,5,15,151,2,12,16,0,0,4,0,0,3,3,0,1,0,3,0,0,0,0,1,21,0,19,311,
1115,C2,7.0,28.0,SAN LUIS POTOSÍ,11115C022807,35,12,3,14,135,2,3,15,1,0,5,0,0,4,2,1,0,3,3,2,1,0,0,0,17,0,11,269,
1115,C3,7.0,28.0,SAN LUIS POTOSÍ,11115C032807,41,15,4,17,148,3,4,10,1,0,8,0,1,3,8,0,0,0,1,1,0,1,0,0,28,1,7,302,
1116,B1,7.0,28.0,SAN LUIS POTOSÍ,11116B012807,65,18,3,13,67,0,8,17,1,2,7,2,0,4,1,1,0,0,3,0,0,0,0,0,30,3,13,258,
1116,C1,7.0,28.0,SAN LUIS POTOSÍ,11116C012807,55,13,9,28,163,0,9,12,0,3,5,2,2,4,2,0,0,0,0,0,0,1,0,0,31,1,4,344,
